index	Province	Capital	Area_km2	Population	Density
0	Azua	Azua	2,531.77	298,246	118
1	Bahoruco	Neiba	1,282.23	111,269	87
2	Barahona	Barahona	1,739.38	232,818	134
5	Duarte	San Francisco de Macorís	1,605.35	338,649	211
6	El Seibo	El Seibo	1,786.80	110,212	62
7	Elías Piña	Comendador	1,426.20	84,632	59
8	Espaillat	Moca	838.62	333,401	398
9	Hato Mayor	Hato Mayor	1,329.29	103,032	78
10	Hermanas Mirabal	Salcedo	440.43	121,887	277
11	Independencia	Jimaní	2,006.44	74,583	37
12	La Altagracia	Higüey	3,010.34	372,289	124
13	La Romana	La Romana	653.95	344,580	527
15	María Trinidad Sánchez	Nagua	1,271.71	195,886	154
16	Monseñor Nouel	Bonao	992.39	203,183	205
18	Monte Plata	Monte Plata	2,632.14	222,641	85
21	Puerto Plata	Puerto Plata	1,852.90	498,232	269
23	San Cristóbal	San Cristóbal	1,265.77	640,066	506
28	Santiago	Santiago de los Caballeros	2,836.51	1,543,362	544
29	Santiago Rodríguez	Sabaneta	1,111.14	99,044	89
32	Total		48,666.83	12,935,223	266
