index	Pick	Player	Team	Position	School
0	1	Ben McDonald	Baltimore Orioles	RHP	Louisiana State University
1	2	Tyler Houston	Atlanta Braves	C	Valley HS (Las Vegas, NV)
5	6	Paul Coleman	Saint Louis Cardinals	OF	Frankston (TX) HS
6	7	Frank Thomas	Chicago White Sox	1B	Auburn University
7	8	Earl Cunningham	Chicago Cubs	OF	Lancaster (SC) HS
8	9	Kyle Abbott	California Angels	LHP	Long Beach State University
9	10	Charles Johnson	Montreal Expos	C	Westwood HS (Fort Pierce, FL)
11	12	Jeff Juden	Houston Astros	RHP	Salem (MA) HS
12	13	Brent Mayne	Kansas City Royals	C	Cal State Fullerton
14	15	Kiki Jones	Los Angeles Dodgers	RHP	Hillsborough HS (Tampa, FL)
15	16	Greg Blosser	Boston Red Sox	OF	Sarasota (FL) HS
16	17	Cal Eldred	Milwaukee Brewers	RHP	University of Iowa
21	22	Tom Goodwin	Los Angeles Dodgers	OF	Fresno State University
23	24	Alan Zinter	New York Mets	C	University of Arizona
24	25	Chuck Knoblauch	Minnesota Twins	2B	Texas A&M University
25	26	Scott Burrell	Seattle Mariners	RHP	Hamden (CT) HS
