index	Province	Capital	Area (km²)	Population	Density
14	La Vega	Concepción de La Vega	2,287.24	447,905	196
19	Pedernales	Pedernales	2,074.53	52,165	25
3	Dajabón	Dajabón	1,020.73	87,274	86
27	Sánchez Ramírez	Cotuí	1,196.13	248,807	208
31	Valverde	Mao	823.38	217,026	264
26	San Pedro de Macorís	San Pedro de Macorís	1,255.46	392,911	313
20	Peravia	Baní	792.33	217,241	274
25	San Juan	San Juan de la Maguana	3,569.39	317,293	89
24	San José de Ocoa	San José de Ocoa	855.40	97,640	114
30	Santo Domingo	Santo Domingo Este	1,296.35	3,263,053	2,517
17	Monte Cristi	Monte Cristi	1,924.35	150,833	78
22	Samaná	Samaná	853.74	139,707	164
4	Distrito Nacional	Santo Domingo	104.44	1,402,749	13,431
